Farm_ID,Region,Crop_Type,Season,Area_Planted_Ha,Fertilizer_Used_kg,Rainfall_mm,Yield_Tonnes,Soil_Type,Market_Price_KES_per_Tonne,Year
FARM000001,Meru,Wheat,Long Rains,2.19,239.9,1440.6,0.21,Sandy,78062.92,2016
FARM000002,Nakuru,Maize,Long Rains,5.73,122.0,601.0,8.59,Sandy,26713.15,2024
FARM000003,Bungoma,Maize,Short Rains,3.59,329.2,666.4,2.4,Sandy,39675.53,2015
FARM000004,Embu,Sugarcane,Long Rains,2.82,64.8,952.0,1.5,Clay,14460.51,2018
FARM000005,Nakuru,Wheat,Long Rains,2.51,153.9,1444.8,8.84,Sandy,78720.42,2015
FARM000006,Embu,Beans,Short Rains,3.71,475.6,902.3,5.54,Sandy,66259.23,2020
FARM000007,Kisumu,Maize,Short Rains,1.75,150.6,1102.6,2.14,Sandy,76652.94,2016
FARM000008,Meru,Sugarcane,Short Rains,5.24,498.2,205.9,9.21,Sandy,38690.23,2015
FARM000009,Nakuru,Maize,Short Rains,1.09,72.9,922.0,6.17,Loamy,26486.01,2022
FARM000010,Nakuru,Maize,Long Rains,3.27,178.5,1203.5,9.69,Sandy,78244.42,2020
FARM000011,Embu,Sugarcane,Long Rains,9.06,289.6,236.7,1.7,Sandy,74004.23,2016
FARM000012,Bungoma,Beans,Short Rains,5.87,260.1,980.6,8.66,Sandy,59751.8,2016
FARM000013,Uasin Gishu,Beans,Short Rains,4.56,302.8,1073.0,3.82,Loamy,51751.77,2022
FARM000014,Bungoma,Beans,Short Rains,4.45,334.1,1138.8,1.18,Clay,35663.19,2016
FARM000015,Bungoma,Tea,Long Rains,8.2,95.3,303.5,5.34,Loamy,42823.14,2017
FARM000016,Nakuru,Beans,Long Rains,4.5,98.2,623.5,1.55,Clay,36468.65,2019
FARM000017,Embu,Coffee,Short Rains,7.17,371.3,766.4,9.08,Loamy,64001.78,2020
FARM000018,Uasin Gishu,Wheat,Long Rains,4.63,179.7,1264.7,2.77,Loamy,27565.0,2018
FARM000019,Uasin Gishu,Wheat,Long Rains,3.21,198.2,1261.8,0.32,Clay,13065.8,2024
FARM000020,Kisumu,Coffee,Long Rains,0.56,188.7,681.7,8.16,Loamy,79911.51,2015
FARM000021,Bungoma,Coffee,Short Rains,5.42,247.1,1393.9,9.03,Sandy,18387.5,2017
FARM000022,Kisumu,Beans,Long Rains,4.57,466.1,1382.5,5.34,Sandy,66026.53,2023
FARM000023,Bungoma,Wheat,Short Rains,8.75,103.2,1255.7,8.9,Clay,60883.28,2021
FARM000024,Nakuru,Sugarcane,Short Rains,3.21,446.6,786.1,2.91,Clay,20918.13,2018
FARM000025,Kisumu,Maize,Long Rains,0.76,127.1,677.2,5.65,Sandy,49712.41,2016
FARM000026,Bungoma,Sugarcane,Short Rains,5.85,203.0,1431.3,11.6,Loamy,24701.39,2022
FARM000027,Nakuru,Beans,Short Rains,1.29,78.9,330.3,0.87,Sandy,20472.58,2017
FARM000028,Nyeri,Tea,Short Rains,1.03,126.1,670.5,5.37,Sandy,30582.35,2024
FARM000029,Meru,Beans,Short Rains,3.53,129.8,788.6,4.45,Loamy,26892.12,2019
FARM000030,Meru,Sugarcane,Long Rains,6.99,208.0,249.8,10.47,Sandy,73122.16,2017
FARM000031,Nyeri,Coffee,Short Rains,7.25,247.0,1130.1,7.7,Sandy,15449.68,2024
FARM000032,Bungoma,Coffee,Short Rains,8.95,474.6,734.8,11.49,Clay,32926.22,2019
FARM000033,Meru,Wheat,Short Rains,7.81,104.4,933.5,2.76,Clay,52849.14,2024
FARM000034,Meru,Maize,Short Rains,2.31,385.9,1227.3,5.47,Sandy,33911.78,2015
FARM000035,Nakuru,Coffee,Long Rains,6.92,188.8,903.0,4.6,Loamy,42386.78,2022
FARM000036,Bungoma,Tea,Short Rains,0.71,236.3,1099.0,11.13,Loamy,60668.94,2016
FARM000037,Nakuru,Wheat,Short Rains,5.28,199.2,1456.8,4.23,Loamy,61792.63,2022
FARM000038,Bungoma,Tea,Short Rains,7.15,340.2,1356.0,1.07,Clay,25782.06,2019
FARM000039,Embu,Maize,Short Rains,3.89,472.1,778.8,3.99,Sandy,64834.94,2024
FARM000040,Embu,Beans,Long Rains,2.94,75.8,919.0,7.52,Clay,46605.56,2023
FARM000041,Nyeri,Sugarcane,Short Rains,5.83,261.0,215.3,1.59,Loamy,36914.86,2023
FARM000042,Nyeri,Sugarcane,Long Rains,3.4,302.9,1102.9,1.11,Sandy,22834.08,2021
FARM000043,Uasin Gishu,Maize,Long Rains,2.14,406.2,1312.2,2.64,Loamy,51734.76,2024
FARM000044,Embu,Beans,Short Rains,2.51,415.3,481.5,5.33,Loamy,58864.06,2018
FARM000045,Kisumu,Tea,Short Rains,2.46,436.8,503.3,9.95,Loamy,18603.0,2017
FARM000046,Nyeri,Coffee,Short Rains,2.97,263.6,1436.4,6.68,Sandy,34492.02,2023
FARM000047,Bungoma,Sugarcane,Short Rains,5.05,86.6,351.4,3.12,Sandy,42119.75,2020
FARM000048,Kisumu,Wheat,Long Rains,9.96,203.6,668.8,0.7,Loamy,19985.23,2024
FARM000049,Nakuru,Wheat,Long Rains,9.48,354.9,902.6,11.14,Loamy,38650.86,2016
FARM000050,Meru,Tea,Long Rains,3.19,323.1,933.7,3.64,Clay,28311.22,2016
FARM000051,Kisumu,Tea,Long Rains,0.85,247.2,213.2,2.57,Loamy,42106.82,2019
FARM000052,Nyeri,Maize,Short Rains,0.95,436.9,1457.6,10.18,Sandy,48667.27,2019
FARM000053,Kisumu,Beans,Short Rains,6.79,385.5,1373.0,2.69,Sandy,31257.52,2024
FARM000054,Nyeri,Coffee,Long Rains,3.04,320.7,1463.2,9.38,Sandy,78125.27,2022
FARM000055,Meru,Wheat,Short Rains,9.68,50.6,1240.9,11.56,Clay,28436.87,2023
FARM000056,Nakuru,Sugarcane,Short Rains,2.1,195.6,850.1,2.98,Sandy,42188.58,2017
FARM000057,Nakuru,Sugarcane,Short Rains,0.6,142.1,1279.0,2.39,Clay,20337.23,2015
FARM000058,Kisumu,Maize,Long Rains,1.77,219.0,1428.8,10.06,Sandy,21948.77,2020
FARM000059,Uasin Gishu,Beans,Long Rains,9.17,55.5,924.3,5.7,Clay,32828.76,2021
FARM000060,Meru,Wheat,Long Rains,8.74,465.1,1171.5,9.52,Clay,77978.36,2022
FARM000061,Embu,Sugarcane,Long Rains,7.96,239.2,1368.9,8.44,Loamy,77773.96,2022
FARM000062,Uasin Gishu,Maize,Short Rains,8.94,129.8,565.2,3.74,Clay,48582.25,2015
FARM000063,Kisumu,Beans,Long Rains,5.35,418.2,1160.9,6.61,Sandy,36356.65,2019
FARM000064,Meru,Tea,Long Rains,3.37,56.7,773.3,0.78,Loamy,77173.88,2020
FARM000065,Nyeri,Coffee,Short Rains,2.51,320.7,645.1,11.56,Clay,53580.45,2019
FARM000066,Bungoma,Wheat,Short Rains,2.41,373.7,1434.2,10.1,Loamy,61018.88,2019
FARM000067,Kisumu,Sugarcane,Long Rains,2.39,120.6,1419.5,9.46,Loamy,11841.18,2019
FARM000068,Nyeri,Coffee,Long Rains,1.75,370.1,806.7,5.91,Clay,65897.21,2018
FARM000069,Embu,Coffee,Long Rains,5.32,354.8,407.0,1.16,Loamy,56148.32,2021
FARM000070,Kisumu,Beans,Short Rains,0.71,279.1,506.1,2.34,Loamy,38561.16,2024
FARM000071,Meru,Sugarcane,Short Rains,2.18,93.8,1480.3,9.19,Clay,77525.24,2021
FARM000072,Uasin Gishu,Wheat,Long Rains,7.04,314.3,1008.6,2.62,Loamy,48985.62,2019
FARM000073,Embu,Tea,Short Rains,3.92,457.7,1336.1,11.03,Sandy,14635.17,2015
